Name,Calories,Total Fat,Saturated Fat,Trans Fat,Polyunsaturated Fat,Monounsaturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Sugars,Protein,Vitamin D,Calcium,Iron,Potassium,Vitamin A,Vitamin C
potato-chips-(without-salt-reduced-fat),487,20.8g,4.16g,0,10.94g,4.8g,0mg,8mg,67.8g,6.1g,0.22g,7.1g,0,21mg,1.35mg,1744mg,0mcg,25.7mg
potato-chips-(white-restructured-baked),469,18.2g,2.631g,0,4.234g,9.91g,0mg,917mg,71.4g,4.8g,5.01g,5g,0,125mg,0.8mg,721mg,0mcg,0mg
potato-ham-chowder,80,5.2g,1.62g,0,0.32g,2.46g,9mg,364mg,5.6g,0.6g,0,2.7g,0,0,0.7mg,0,0,0
potato-soup-mix-(dry-instant),343,3.1g,0.613g,0,1.025g,1.185g,12mg,612mg,76.14g,7.6g,10g,9.2g,0,172mg,2.38mg,1248mg,3mcg,16mg
potato-puffs-(frozen),175,7.77g,1.641g,0,0.403g,5.413g,0mg,457mg,25.97g,1.9g,0.21g,2.03g,0,13mg,0.63mg,285mg,0mcg,7.5mg
potato-puffs-(frozen-oven-heated),190,8.62g,1.818g,0,0.445g,6.012g,0mg,480mg,27.75g,2.5g,0.25g,2.05g,0,14mg,0.64mg,312mg,0mcg,6.3mg
potato-salad,143,8.2g,1.429g,0,3.737g,2.48g,68mg,529mg,11.17g,1.3g,0,2.68g,0,19mg,0.65mg,254mg,32mcg,10mg
potato-pancakes,269,14.75g,2.493g,0,7.515g,3.729g,95mg,764mg,27.9g,3.2g,1.8g,6.06g,0mcg,32mg,1.67mg,622mg,32mcg,27.5mg
potato-sticks,522,34.4g,8.88g,0,17.9g,6.16g,0mg,250mg,53.3g,3.4g,0.22g,6.7g,0,18mg,2.27mg,1237mg,0mcg,47.3mg
potato-salad-side-dish,114,6.03g,1.03g,0,3.02g,1.69g,60mg,328mg,13.53g,0,0,1.53g,0,14mg,0.73mg,270mg,30mcg,1.1mg
potatoes-(drained-solids-canned),60,0.21g,0.054g,0,0.089g,0.005g,0mg,219mg,13.61g,2.3g,0,1.41g,0,5mg,1.26mg,229mg,0mcg,5.1mg
potato-wedges-(frozen),123,2.2g,0.55g,0,0.102g,1.451g,0mg,49mg,25.5g,2g,0.3g,2.7g,0,15mg,0.7mg,394mg,0mcg,11.2mg
potatoes-(flesh-and-skin-without-salt-microwaved),105,0.1g,0.026g,0,0.043g,0.002g,0mg,8mg,24.24g,2.3g,0,2.44g,0,11mg,1.24mg,447mg,0mcg,15.1mg
potatoes-(flesh-and-skin-with-salt-baked),93,0.13g,0.035g,0,0.058g,0.003g,0mg,244mg,21.15g,2.2g,1.18g,2.5g,0,15mg,1.08mg,535mg,1mcg,9.6mg
potatoes-(flesh-and-skin-with-salt-microwaved),105,0.1g,0.026g,0,0.043g,0.002g,0mg,244mg,24.24g,2.3g,0,2.44g,0,11mg,1.24mg,447mg,0mcg,15.1mg
potatoes-(drained-solids-no-salt-added-canned),62,0.2g,0.051g,0,0.085g,0.005g,0mg,5mg,13.6g,2.4g,0.59g,1.4g,0,5mg,1.26mg,229mg,0mcg,5.1mg
